index,top5_indices,top5_tanimoto
808,"[np.int64(384), np.int64(179), np.int64(219), np.int64(102), np.int64(1297)]","[0.7837837837837838, 0.39325842696629215, 0.24, 0.22093023255813954, 0.21212121212121213]"
809,"[np.int64(1116), np.int64(1094), np.int64(820), np.int64(964), np.int64(388)]","[0.9523809523809523, 0.6071428571428571, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556]"
810,"[np.int64(270), np.int64(1047), np.int64(1372), np.int64(1180), np.int64(884)]","[0.7714285714285715, 0.7714285714285715, 0.7432432432432432, 0.654320987654321, 0.6103896103896104]"
811,"[np.int64(568), np.int64(1000), np.int64(118), np.int64(1078), np.int64(868)]","[0.9696969696969697, 0.58, 0.56, 0.375, 0.35]"
812,"[np.int64(1218), np.int64(421), np.int64(950), np.int64(988), np.int64(22)]","[0.9565217391304348, 0.2222222222222222, 0.2, 0.19444444444444445, 0.17142857142857143]"
813,"[np.int64(685), np.int64(645), np.int64(753), np.int64(379), np.int64(69)]","[0.9696969696969697, 0.38461538461538464, 0.36538461538461536, 0.36538461538461536, 0.3469387755102041]"
814,"[np.int64(471), np.int64(1276), np.int64(1007), np.int64(1033), np.int64(1065)]","[0.9696969696969697, 0.2826086956521739, 0.2777777777777778, 0.2692307692307692, 0.2608695652173913]"
815,"[np.int64(549), np.int64(468), np.int64(698), np.int64(370), np.int64(171)]","[0.84, 0.6153846153846154, 0.5333333333333333, 0.5272727272727272, 0.4603174603174603]"
816,"[np.int64(633), np.int64(275), np.int64(256), np.int64(648), np.int64(986)]","[0.96, 0.44, 0.34210526315789475, 0.3333333333333333, 0.3333333333333333]"
817,"[np.int64(844), np.int64(494), np.int64(667), np.int64(847), np.int64(571)]","[0.7317073170731707, 0.5675675675675675, 0.5384615384615384, 0.4222222222222222, 0.28888888888888886]"
818,"[np.int64(976), np.int64(514), np.int64(8), np.int64(191), np.int64(920)]","[0.5789473684210527, 0.54, 0.4722222222222222, 0.3783783783783784, 0.3404255319148936]"
819,"[np.int64(425), np.int64(875), np.int64(619), np.int64(1153), np.int64(991)]","[0.9714285714285714, 0.42857142857142855, 0.40816326530612246, 0.23076923076923078, 0.22580645161290322]"
820,"[np.int64(809), np.int64(1116), np.int64(388), np.int64(964), np.int64(768)]","[0.5555555555555556, 0.5357142857142857, 0.5172413793103449, 0.5172413793103449, 0.5]"
821,"[np.int64(629), np.int64(765), np.int64(856), np.int64(429), np.int64(690)]","[0.9824561403508771, 0.6231884057971014, 0.6111111111111112, 0.6086956521739131, 0.6056338028169014]"
822,"[np.int64(867), np.int64(1095), np.int64(573), np.int64(885), np.int64(1309)]","[0.88, 0.8333333333333334, 0.8024691358024691, 0.5584415584415584, 0.4177215189873418]"
823,"[np.int64(859), np.int64(386), np.int64(558), np.int64(490), np.int64(801)]","[0.9696969696969697, 0.7692307692307693, 0.625, 0.5365853658536586, 0.4074074074074074]"
824,"[np.int64(53), np.int64(1439), np.int64(1456), np.int64(178), np.int64(726)]","[0.8372093023255814, 0.6666666666666666, 0.5294117647058824, 0.23728813559322035, 0.2222222222222222]"
825,"[np.int64(626), np.int64(27), np.int64(1105), np.int64(1103), np.int64(896)]","[0.9696969696969697, 0.30434782608695654, 0.28, 0.2619047619047619, 0.2564102564102564]"
826,"[np.int64(91), np.int64(1013), np.int64(1127), np.int64(602), np.int64(807)]","[0.9736842105263158, 0.4107142857142857, 0.40816326530612246, 0.39285714285714285, 0.3877551020408163]"
827,"[np.int64(201), np.int64(530), np.int64(1070), np.int64(390), np.int64(1025)]","[0.64, 0.41379310344827586, 0.27586206896551724, 0.25862068965517243, 0.25396825396825395]"
828,"[np.int64(565), np.int64(21), np.int64(446), np.int64(164), np.int64(1029)]","[0.3055555555555556, 0.3, 0.28125, 0.27586206896551724, 0.25]"
829,"[np.int64(1174), np.int64(663), np.int64(131), np.int64(1127), np.int64(411)]","[0.75, 0.3018867924528302, 0.27692307692307694, 0.2641509433962264, 0.2638888888888889]"
830,"[np.int64(64), np.int64(121), np.int64(137), np.int64(100), np.int64(538)]","[0.9761904761904762, 0.7291666666666666, 0.5740740740740741, 0.5555555555555556, 0.48]"
831,"[np.int64(1051), np.int64(901), np.int64(190), np.int64(389), np.int64(990)]","[0.31, 0.2876712328767123, 0.2857142857142857, 0.2647058823529412, 0.2647058823529412]"
832,"[np.int64(124), np.int64(145), np.int64(163), np.int64(224), np.int64(700)]","[0.972972972972973, 0.3076923076923077, 0.2878787878787879, 0.2727272727272727, 0.2631578947368421]"
833,"[np.int64(695), np.int64(750), np.int64(984), np.int64(1120), np.int64(794)]","[0.75, 0.4772727272727273, 0.42857142857142855, 0.42, 0.3728813559322034]"
834,"[np.int64(451), np.int64(1112), np.int64(1053), np.int64(1007), np.int64(668)]","[0.8148148148148148, 0.5, 0.34782608695652173, 0.3333333333333333, 0.27906976744186046]"
835,"[np.int64(837), np.int64(855), np.int64(545), np.int64(493), np.int64(800)]","[0.9821428571428571, 0.765625, 0.6666666666666666, 0.6666666666666666, 0.6567164179104478]"
836,"[np.int64(1098), np.int64(775), np.int64(1117), np.int64(1235), np.int64(1207)]","[0.2605042016806723, 0.25757575757575757, 0.2421875, 0.24107142857142858, 0.22950819672131148]"
837,"[np.int64(835), np.int64(855), np.int64(800), np.int64(725), np.int64(545)]","[0.9821428571428571, 0.7538461538461538, 0.6716417910447762, 0.6716417910447762, 0.6567164179104478]"
838,"[np.int64(746), np.int64(378), np.int64(1313), np.int64(300), np.int64(1273)]","[0.8571428571428571, 0.8387096774193549, 0.78125, 0.7313432835820896, 0.6567164179104478]"
839,"[np.int64(618), np.int64(592), np.int64(797), np.int64(246), np.int64(1446)]","[0.75, 0.6379310344827587, 0.45588235294117646, 0.43103448275862066, 0.3684210526315789]"
840,"[np.int64(508), np.int64(778), np.int64(685), np.int64(813), np.int64(478)]","[0.7368421052631579, 0.34615384615384615, 0.29411764705882354, 0.28846153846153844, 0.2682926829268293]"
841,"[np.int64(1024), np.int64(1021), np.int64(1184), np.int64(1388), np.int64(771)]","[0.95, 0.48, 0.42105263157894735, 0.41935483870967744, 0.4166666666666667]"
842,"[np.int64(109), np.int64(465), np.int64(81), np.int64(647), np.int64(696)]","[0.9705882352941176, 0.4423076923076923, 0.41304347826086957, 0.4107142857142857, 0.40425531914893614]"
843,"[np.int64(84), np.int64(139), np.int64(1406), np.int64(1264), np.int64(1233)]","[0.9047619047619048, 0.9047619047619048, 0.6938775510204082, 0.64, 0.6382978723404256]"
844,"[np.int64(817), np.int64(847), np.int64(667), np.int64(494), np.int64(684)]","[0.7317073170731707, 0.6046511627906976, 0.4444444444444444, 0.4318181818181818, 0.32653061224489793]"
845,"[np.int64(964), np.int64(388), np.int64(407), np.int64(768), np.int64(1054)]","[0.3181818181818182, 0.3181818181818182, 0.3148148148148148, 0.3111111111111111, 0.3111111111111111]"
846,"[np.int64(499), np.int64(309), np.int64(590), np.int64(1096), np.int64(1244)]","[0.2894736842105263, 0.23529411764705882, 0.23076923076923078, 0.22950819672131148, 0.22916666666666666]"
847,"[np.int64(667), np.int64(844), np.int64(494), np.int64(817), np.int64(684)]","[0.7058823529411765, 0.6046511627906976, 0.5135135135135135, 0.4222222222222222, 0.38095238095238093]"
848,"[np.int64(1451), np.int64(763), np.int64(1445), np.int64(598), np.int64(236)]","[1.0, 0.8301886792452831, 0.8301886792452831, 0.6727272727272727, 0.6727272727272727]"
849,"[np.int64(625), np.int64(1043), np.int64(1008), np.int64(1081), np.int64(1224)]","[0.9642857142857143, 0.42857142857142855, 0.40816326530612246, 0.21951219512195122, 0.20408163265306123]"
850,"[np.int64(168), np.int64(466), np.int64(369), np.int64(75), np.int64(326)]","[0.6071428571428571, 0.3181818181818182, 0.296875, 0.29577464788732394, 0.2923076923076923]"
851,"[np.int64(774), np.int64(512), np.int64(177), np.int64(522), np.int64(473)]","[0.9761904761904762, 0.37735849056603776, 0.3389830508474576, 0.3275862068965517, 0.3103448275862069]"
852,"[np.int64(1045), np.int64(904), np.int64(1059), np.int64(1419), np.int64(1399)]","[0.967741935483871, 0.5098039215686274, 0.4642857142857143, 0.359375, 0.34375]"
853,"[np.int64(729), np.int64(671), np.int64(1198), np.int64(952), np.int64(599)]","[0.95, 0.44, 0.4, 0.22580645161290322, 0.2222222222222222]"
854,"[np.int64(734), np.int64(965), np.int64(1081), np.int64(341), np.int64(961)]","[0.9615384615384616, 0.46153846153846156, 0.2972972972972973, 0.2926829268292683, 0.2702702702702703]"
855,"[np.int64(878), np.int64(835), np.int64(837), np.int64(493), np.int64(545)]","[0.7945205479452054, 0.765625, 0.7538461538461538, 0.5915492957746479, 0.5915492957746479]"
856,"[np.int64(735), np.int64(690), np.int64(821), np.int64(765), np.int64(629)]","[0.9830508474576272, 0.6811594202898551, 0.6111111111111112, 0.6056338028169014, 0.5972222222222222]"
857,"[np.int64(1165), np.int64(1091), np.int64(1162), np.int64(1233), np.int64(1386)]","[0.9767441860465116, 0.8125, 0.8, 0.4, 0.39285714285714285]"
858,"[np.int64(97), np.int64(3), np.int64(82), np.int64(152), np.int64(132)]","[0.98, 0.3188405797101449, 0.28169014084507044, 0.2692307692307692, 0.2692307692307692]"
859,"[np.int64(823), np.int64(386), np.int64(558), np.int64(490), np.int64(801)]","[0.9696969696969697, 0.75, 0.6122448979591837, 0.5238095238095238, 0.4]"
860,"[np.int64(1220), np.int64(1270), np.int64(1252), np.int64(1260), np.int64(236)]","[0.24806201550387597, 0.24060150375939848, 0.22413793103448276, 0.2184873949579832, 0.21296296296296297]"
861,"[np.int64(730), np.int64(1103), np.int64(1050), np.int64(1062), np.int64(1137)]","[0.8571428571428571, 0.22727272727272727, 0.2, 0.19230769230769232, 0.18181818181818182]"
862,"[np.int64(994), np.int64(1308), np.int64(1363), np.int64(1149), np.int64(1141)]","[0.9555555555555556, 0.6153846153846154, 0.6095238095238096, 0.375886524822695, 0.3644067796610169]"
863,"[np.int64(879), np.int64(1416), np.int64(1306), np.int64(1379), np.int64(513)]","[0.8571428571428571, 0.7073170731707317, 0.6352941176470588, 0.5875, 0.5526315789473685]"
864,"[np.int64(116), np.int64(638), np.int64(57), np.int64(67), np.int64(1074)]","[0.9666666666666667, 0.525, 0.5, 0.4358974358974359, 0.4186046511627907]"
865,"[np.int64(160), np.int64(931), np.int64(579), np.int64(1347), np.int64(747)]","[0.9629629629629629, 0.41379310344827586, 0.4, 0.37142857142857144, 0.36]"
866,"[np.int64(1324), np.int64(1255), np.int64(345), np.int64(247), np.int64(493)]","[0.9859154929577465, 0.8072289156626506, 0.2894736842105263, 0.2882882882882883, 0.2755102040816326]"
867,"[np.int64(573), np.int64(822), np.int64(1095), np.int64(885), np.int64(283)]","[0.9041095890410958, 0.88, 0.7926829268292683, 0.6142857142857143, 0.4788732394366197]"
868,"[np.int64(1078), np.int64(436), np.int64(2), np.int64(7), np.int64(1031)]","[0.9545454545454546, 0.5384615384615384, 0.45714285714285713, 0.4444444444444444, 0.4117647058823529]"
869,"[np.int64(105), np.int64(83), np.int64(15), np.int64(23), np.int64(111)]","[0.96, 0.30952380952380953, 0.2857142857142857, 0.2857142857142857, 0.2826086956521739]"
870,"[np.int64(781), np.int64(1040), np.int64(786), np.int64(128), np.int64(665)]","[0.9615384615384616, 0.24528301886792453, 0.23076923076923078, 0.22641509433962265, 0.22641509433962265]"
871,"[np.int64(1370), np.int64(662), np.int64(804), np.int64(1233), np.int64(1386)]","[0.8285714285714286, 0.6285714285714286, 0.6111111111111112, 0.5609756097560976, 0.5476190476190477]"
872,"[np.int64(1122), np.int64(134), np.int64(1056), np.int64(977), np.int64(971)]","[0.5333333333333333, 0.2127659574468085, 0.20833333333333334, 0.17391304347826086, 0.16666666666666666]"
873,"[np.int64(979), np.int64(213), np.int64(206), np.int64(526), np.int64(479)]","[0.8, 0.2, 0.1111111111111111, 0.07142857142857142, 0.06382978723404255]"
874,"[np.int64(918), np.int64(338), np.int64(1131), np.int64(677), np.int64(117)]","[0.9512195121951219, 0.25862068965517243, 0.2375, 0.21666666666666667, 0.21568627450980393]"
875,"[np.int64(619), np.int64(819), np.int64(425), np.int64(850), np.int64(326)]","[0.9714285714285714, 0.42857142857142855, 0.40816326530612246, 0.2222222222222222, 0.203125]"
876,"[np.int64(1226), np.int64(28), np.int64(154), np.int64(446), np.int64(443)]","[0.6666666666666666, 0.30303030303030304, 0.2857142857142857, 0.2777777777777778, 0.25806451612903225]"
877,"[np.int64(903), np.int64(484), np.int64(562), np.int64(904), np.int64(88)]","[0.8604651162790697, 0.29411764705882354, 0.2898550724637681, 0.2535211267605634, 0.24561403508771928]"
878,"[np.int64(855), np.int64(835), np.int64(837), np.int64(493), np.int64(545)]","[0.7945205479452054, 0.620253164556962, 0.6125, 0.4883720930232558, 0.4883720930232558]"
879,"[np.int64(863), np.int64(1306), np.int64(1416), np.int64(1319), np.int64(721)]","[0.8571428571428571, 0.7407407407407407, 0.6136363636363636, 0.5975609756097561, 0.5569620253164557]"
880,"[np.int64(677), np.int64(793), np.int64(500), np.int64(496), np.int64(35)]","[0.5333333333333333, 0.3617021276595745, 0.3541666666666667, 0.34782608695652173, 0.34210526315789475]"
881,"[np.int64(604), np.int64(272), np.int64(636), np.int64(613), np.int64(396)]","[0.8714285714285714, 0.3146067415730337, 0.2978723404255319, 0.27956989247311825, 0.2553191489361702]"
882,"[np.int64(1086), np.int64(1393), np.int64(576), np.int64(565), np.int64(1245)]","[0.6491228070175439, 0.5714285714285714, 0.41935483870967744, 0.25862068965517243, 0.20481927710843373]"
883,"[np.int64(552), np.int64(569), np.int64(700), np.int64(686), np.int64(888)]","[0.5471698113207547, 0.25, 0.2459016393442623, 0.24561403508771928, 0.24324324324324326]"
884,"[np.int64(1047), np.int64(270), np.int64(1372), np.int64(1180), np.int64(810)]","[0.7419354838709677, 0.7419354838709677, 0.6865671641791045, 0.6164383561643836, 0.6103896103896104]"
885,"[np.int64(283), np.int64(1309), np.int64(867), np.int64(1407), np.int64(573)]","[0.68, 0.68, 0.6142857142857143, 0.5961538461538461, 0.5733333333333334]"
886,"[np.int64(1027), np.int64(538), np.int64(137), np.int64(450), np.int64(100)]","[0.9722222222222222, 0.44680851063829785, 0.43636363636363634, 0.425531914893617, 0.41818181818181815]"
887,"[np.int64(1387), np.int64(1206), np.int64(1143), np.int64(1243), np.int64(1299)]","[1.0, 0.8596491228070176, 0.7936507936507936, 0.7692307692307693, 0.7575757575757576]"
888,"[np.int64(1073), np.int64(354), np.int64(577), np.int64(335), np.int64(517)]","[0.8431372549019608, 0.35294117647058826, 0.2692307692307692, 0.2631578947368421, 0.2597402597402597]"
889,"[np.int64(1108), np.int64(1375), np.int64(1158), np.int64(1409), np.int64(1126)]","[0.5161290322580645, 0.5, 0.49230769230769234, 0.4788732394366197, 0.37333333333333335]"
890,"[np.int64(88), np.int64(1153), np.int64(2), np.int64(7), np.int64(207)]","[0.5142857142857142, 0.5, 0.4864864864864865, 0.47368421052631576, 0.39473684210526316]"
891,"[np.int64(241), np.int64(926), np.int64(987), np.int64(1085), np.int64(924)]","[0.8, 0.6829268292682927, 0.5897435897435898, 0.5227272727272727, 0.4883720930232558]"
892,"[np.int64(748), np.int64(253), np.int64(634), np.int64(1031), np.int64(712)]","[0.8214285714285714, 0.5714285714285714, 0.5517241379310345, 0.47058823529411764, 0.4482758620689655]"
893,"[np.int64(190), np.int64(241), np.int64(891), np.int64(1280), np.int64(901)]","[0.6666666666666666, 0.47619047619047616, 0.4318181818181818, 0.42105263157894735, 0.40816326530612246]"
894,"[np.int64(935), np.int64(128), np.int64(569), np.int64(1040), np.int64(700)]","[0.9642857142857143, 0.24528301886792453, 0.24489795918367346, 0.24074074074074073, 0.24]"
895,"[np.int64(929), np.int64(939), np.int64(896), np.int64(965), np.int64(1018)]","[0.25, 0.25, 0.25, 0.23809523809523808, 0.23076923076923078]"
896,"[np.int64(906), np.int64(298), np.int64(65), np.int64(208), np.int64(290)]","[0.3611111111111111, 0.3333333333333333, 0.32432432432432434, 0.32, 0.3076923076923077]"
897,"[np.int64(623), np.int64(1330), np.int64(905), np.int64(193), np.int64(293)]","[0.5434782608695652, 0.5434782608695652, 0.48717948717948717, 0.42857142857142855, 0.40476190476190477]"
898,"[np.int64(16), np.int64(1163), np.int64(970), np.int64(1375), np.int64(1409)]","[0.5, 0.4318181818181818, 0.4090909090909091, 0.3888888888888889, 0.3684210526315789]"
899,"[np.int64(584), np.int64(481), np.int64(794), np.int64(264), np.int64(182)]","[0.6666666666666666, 0.47540983606557374, 0.29850746268656714, 0.288135593220339, 0.2692307692307692]"
900,"[np.int64(1006), np.int64(439), np.int64(1170), np.int64(1100), np.int64(1417)]","[0.66, 0.2463768115942029, 0.2236842105263158, 0.21212121212121213, 0.20689655172413793]"
901,"[np.int64(926), np.int64(389), np.int64(190), np.int64(893), np.int64(241)]","[0.5625, 0.4782608695652174, 0.4117647058823529, 0.40816326530612246, 0.38]"
902,"[np.int64(46), np.int64(676), np.int64(944), np.int64(306), np.int64(275)]","[0.5384615384615384, 0.4, 0.34375, 0.2727272727272727, 0.2692307692307692]"
903,"[np.int64(877), np.int64(484), np.int64(562), np.int64(88), np.int64(1153)]","[0.8604651162790697, 0.3225806451612903, 0.31746031746031744, 0.27450980392156865, 0.2692307692307692]"
904,"[np.int64(1059), np.int64(1419), np.int64(1399), np.int64(852), np.int64(1045)]","[0.7017543859649122, 0.59375, 0.578125, 0.5098039215686274, 0.49019607843137253]"
905,"[np.int64(293), np.int64(897), np.int64(624), np.int64(193), np.int64(1085)]","[0.5128205128205128, 0.48717948717948717, 0.37209302325581395, 0.36363636363636365, 0.3617021276595745]"
906,"[np.int64(623), np.int64(1330), np.int64(1048), np.int64(945), np.int64(1353)]","[0.5, 0.5, 0.42592592592592593, 0.41379310344827586, 0.39655172413793105]"
907,"[np.int64(448), np.int64(398), np.int64(1027), np.int64(937), np.int64(1121)]","[0.3673469387755102, 0.29411764705882354, 0.2857142857142857, 0.2857142857142857, 0.28169014084507044]"
908,"[np.int64(183), np.int64(1050), np.int64(1161), np.int64(942), np.int64(478)]","[0.5555555555555556, 0.46153846153846156, 0.38461538461538464, 0.3125, 0.3]"
909,"[np.int64(1020), np.int64(1061), np.int64(972), np.int64(617), np.int64(680)]","[0.9714285714285714, 0.3023255813953488, 0.29545454545454547, 0.27450980392156865, 0.2692307692307692]"
910,"[np.int64(1227), np.int64(272), np.int64(636), np.int64(218), np.int64(396)]","[0.2916666666666667, 0.27848101265822783, 0.2619047619047619, 0.26153846153846155, 0.24390243902439024]"
911,"[np.int64(947), np.int64(200), np.int64(251), np.int64(953), np.int64(248)]","[0.9090909090909091, 0.3076923076923077, 0.2857142857142857, 0.2857142857142857, 0.2631578947368421]"
912,"[np.int64(316), np.int64(172), np.int64(941), np.int64(494), np.int64(571)]","[0.26666666666666666, 0.23529411764705882, 0.21875, 0.2, 0.2]"
913,"[np.int64(1244), np.int64(1010), np.int64(1014), np.int64(499), np.int64(119)]","[0.7647058823529411, 0.6176470588235294, 0.6, 0.47058823529411764, 0.2608695652173913]"
914,"[np.int64(189), np.int64(970), np.int64(1163), np.int64(16), np.int64(898)]","[0.7045454545454546, 0.37735849056603776, 0.37037037037037035, 0.3333333333333333, 0.32608695652173914]"
915,"[np.int64(1088), np.int64(1047), np.int64(270), np.int64(1372), np.int64(810)]","[1.0, 0.711864406779661, 0.711864406779661, 0.65625, 0.56]"
916,"[np.int64(946), np.int64(188), np.int64(509), np.int64(244), np.int64(898)]","[0.95, 0.48148148148148145, 0.4642857142857143, 0.37037037037037035, 0.3333333333333333]"
917,"[np.int64(1004), np.int64(42), np.int64(1246), np.int64(1397), np.int64(536)]","[0.16279069767441862, 0.16129032258064516, 0.16071428571428573, 0.15789473684210525, 0.15625]"
918,"[np.int64(874), np.int64(338), np.int64(1131), np.int64(869), np.int64(680)]","[0.9512195121951219, 0.25, 0.23170731707317074, 0.2222222222222222, 0.22033898305084745]"
919,"[np.int64(644), np.int64(1009), np.int64(991), np.int64(559), np.int64(1032)]","[0.9454545454545454, 0.4393939393939394, 0.43283582089552236, 0.4098360655737705, 0.4032258064516129]"
920,"[np.int64(976), np.int64(818), np.int64(921), np.int64(514), np.int64(8)]","[0.6428571428571429, 0.3404255319148936, 0.25, 0.2463768115942029, 0.24]"
921,"[np.int64(8), np.int64(37), np.int64(191), np.int64(936), np.int64(818)]","[0.6216216216216216, 0.35294117647058826, 0.3488372093023256, 0.3333333333333333, 0.32608695652173914]"
922,"[np.int64(923), np.int64(90), np.int64(1039), np.int64(405), np.int64(693)]","[0.2923076923076923, 0.2465753424657534, 0.2459016393442623, 0.22857142857142856, 0.22666666666666666]"
923,"[np.int64(922), np.int64(1016), np.int64(464), np.int64(520), np.int64(90)]","[0.2923076923076923, 0.2857142857142857, 0.26153846153846155, 0.25925925925925924, 0.2535211267605634]"
924,"[np.int64(987), np.int64(891), np.int64(1115), np.int64(241), np.int64(1085)]","[0.5897435897435898, 0.4883720930232558, 0.44680851063829785, 0.3695652173913043, 0.3673469387755102]"
925,"[np.int64(1239), np.int64(675), np.int64(755), np.int64(929), np.int64(1167)]","[0.58, 0.5272727272727272, 0.48333333333333334, 0.47058823529411764, 0.3972602739726027]"
926,"[np.int64(241), np.int64(891), np.int64(901), np.int64(1085), np.int64(1287)]","[0.7435897435897436, 0.6829268292682927, 0.5625, 0.5319148936170213, 0.42857142857142855]"
927,"[np.int64(940), np.int64(339), np.int64(588), np.int64(1025), np.int64(793)]","[0.6226415094339622, 0.5306122448979592, 0.390625, 0.3275862068965517, 0.32727272727272727]"
928,"[np.int64(975), np.int64(1032), np.int64(559), np.int64(554), np.int64(991)]","[0.972972972972973, 0.5333333333333333, 0.5111111111111111, 0.44680851063829785, 0.4444444444444444]"
929,"[np.int64(925), np.int64(983), np.int64(347), np.int64(208), np.int64(1263)]","[0.47058823529411764, 0.37142857142857144, 0.37142857142857144, 0.35714285714285715, 0.3225806451612903]"
930,"[np.int64(1231), np.int64(1028), np.int64(1305), np.int64(1111), np.int64(19)]","[1.0, 0.9811320754716981, 0.9811320754716981, 0.5189873417721519, 0.5189873417721519]"
931,"[np.int64(579), np.int64(977), np.int64(971), np.int64(865), np.int64(160)]","[0.9375, 0.7333333333333333, 0.6875, 0.41379310344827586, 0.4]"
932,"[np.int64(624), np.int64(193), np.int64(293), np.int64(1085), np.int64(926)]","[0.4883720930232558, 0.4772727272727273, 0.391304347826087, 0.3269230769230769, 0.3148148148148148]"
933,"[np.int64(546), np.int64(674), np.int64(500), np.int64(502), np.int64(264)]","[0.6590909090909091, 0.6428571428571429, 0.5348837209302325, 0.5333333333333333, 0.5111111111111111]"
934,"[np.int64(563), np.int64(414), np.int64(554), np.int64(412), np.int64(630)]","[0.7647058823529411, 0.6578947368421053, 0.6410256410256411, 0.5555555555555556, 0.48936170212765956]"
935,"[np.int64(894), np.int64(128), np.int64(569), np.int64(1040), np.int64(700)]","[0.9642857142857143, 0.24074074074074073, 0.24, 0.23636363636363636, 0.23529411764705882]"
936,"[np.int64(37), np.int64(191), np.int64(456), np.int64(8), np.int64(17)]","[0.7105263157894737, 0.5882352941176471, 0.40425531914893614, 0.4, 0.3333333333333333]"
937,"[np.int64(1121), np.int64(66), np.int64(129), np.int64(13), np.int64(79)]","[0.9814814814814815, 0.3442622950819672, 0.3387096774193548, 0.3235294117647059, 0.3055555555555556]"
938,"[np.int64(743), np.int64(973), np.int64(1215), np.int64(27), np.int64(282)]","[0.6785714285714286, 0.6785714285714286, 0.5806451612903226, 0.5806451612903226, 0.5428571428571428]"
939,"[np.int64(533), np.int64(803), np.int64(450), np.int64(538), np.int64(1027)]","[0.3055555555555556, 0.3013698630136986, 0.2833333333333333, 0.2786885245901639, 0.265625]"
940,"[np.int64(927), np.int64(339), np.int64(1025), np.int64(496), np.int64(588)]","[0.6226415094339622, 0.5531914893617021, 0.3392857142857143, 0.3269230769230769, 0.29850746268656714]"
941,"[np.int64(571), np.int64(1279), np.int64(172), np.int64(316), np.int64(363)]","[0.34285714285714286, 0.325, 0.3055555555555556, 0.30303030303030304, 0.2894736842105263]"
942,"[np.int64(1161), np.int64(527), np.int64(704), np.int64(578), np.int64(183)]","[0.6428571428571429, 0.5, 0.45, 0.38235294117647056, 0.35714285714285715]"
943,"[np.int64(35), np.int64(202), np.int64(394), np.int64(793), np.int64(500)]","[0.5, 0.48148148148148145, 0.4117647058823529, 0.3684210526315789, 0.358974358974359]"
944,"[np.int64(46), np.int64(329), np.int64(525), np.int64(676), np.int64(902)]","[0.5185185185185185, 0.40540540540540543, 0.39473684210526316, 0.3870967741935484, 0.34375]"
945,"[np.int64(1294), np.int64(1330), np.int64(623), np.int64(1287), np.int64(1360)]","[0.4868421052631579, 0.4444444444444444, 0.4444444444444444, 0.4358974358974359, 0.41975308641975306]"
946,"[np.int64(916), np.int64(509), np.int64(188), np.int64(244), np.int64(898)]","[0.95, 0.5, 0.4642857142857143, 0.35714285714285715, 0.3235294117647059]"
947,"[np.int64(911), np.int64(953), np.int64(999), np.int64(200), np.int64(251)]","[0.9090909090909091, 0.35714285714285715, 0.3, 0.2857142857142857, 0.26666666666666666]"
948,"[np.int64(404), np.int64(268), np.int64(435), np.int64(595), np.int64(405)]","[0.9811320754716981, 0.5396825396825397, 0.4927536231884058, 0.4782608695652174, 0.3150684931506849]"
949,"[np.int64(446), np.int64(208), np.int64(44), np.int64(581), np.int64(588)]","[0.5714285714285714, 0.4642857142857143, 0.4375, 0.41025641025641024, 0.40816326530612246]"
950,"[np.int64(988), np.int64(1093), np.int64(208), np.int64(1011), np.int64(149)]","[0.9523809523809523, 0.37142857142857144, 0.27586206896551724, 0.24242424242424243, 0.2391304347826087]"
951,"[np.int64(635), np.int64(968), np.int64(632), np.int64(231), np.int64(1070)]","[0.4444444444444444, 0.41935483870967744, 0.3888888888888889, 0.3191489361702128, 0.3076923076923077]"
952,"[np.int64(1137), np.int64(722), np.int64(1103), np.int64(14), np.int64(1277)]","[0.27586206896551724, 0.2727272727272727, 0.26666666666666666, 0.25925925925925924, 0.25925925925925924]"
953,"[np.int64(200), np.int64(999), np.int64(248), np.int64(350), np.int64(947)]","[0.875, 0.5333333333333333, 0.4666666666666667, 0.3888888888888889, 0.35714285714285715]"
954,"[np.int64(1046), np.int64(568), np.int64(147), np.int64(811), np.int64(173)]","[0.9666666666666667, 0.32608695652173914, 0.32558139534883723, 0.3191489361702128, 0.3125]"
955,"[np.int64(289), np.int64(464), np.int64(242), np.int64(221), np.int64(1064)]","[0.24489795918367346, 0.21428571428571427, 0.2112676056338028, 0.20588235294117646, 0.203125]"
956,"[np.int64(963), np.int64(343), np.int64(416), np.int64(289), np.int64(1016)]","[0.40625, 0.34210526315789475, 0.3076923076923077, 0.28125, 0.27906976744186046]"
957,"[np.int64(157), np.int64(208), np.int64(1263), np.int64(1068), np.int64(278)]","[0.53125, 0.4482758620689655, 0.40625, 0.358974358974359, 0.34285714285714286]"
958,"[np.int64(785), np.int64(687), np.int64(246), np.int64(766), np.int64(472)]","[0.9705882352941176, 0.39285714285714285, 0.38, 0.37735849056603776, 0.375]"
959,"[np.int64(610), np.int64(1039), np.int64(307), np.int64(660), np.int64(534)]","[0.59375, 0.5263157894736842, 0.5, 0.4166666666666667, 0.4166666666666667]"
960,"[np.int64(263), np.int64(309), np.int64(949), np.int64(478), np.int64(793)]","[0.5588235294117647, 0.41379310344827586, 0.3333333333333333, 0.3125, 0.2926829268292683]"
961,"[np.int64(1081), np.int64(965), np.int64(302), np.int64(734), np.int64(854)]","[0.9545454545454546, 0.375, 0.29411764705882354, 0.2777777777777778, 0.2702702702702703]"
