index,top5_indices,top5_tanimoto
57,"[np.int64(638), np.int64(67), np.int64(1074), np.int64(116), np.int64(864)]","[0.967741935483871, 0.6, 0.525, 0.5128205128205128, 0.5]"
58,"[np.int64(101), np.int64(11), np.int64(108), np.int64(51), np.int64(79)]","[0.9782608695652174, 0.8163265306122449, 0.8, 0.72, 0.6226415094339622]"
59,"[np.int64(723), np.int64(551), np.int64(601), np.int64(507), np.int64(279)]","[0.95, 0.6666666666666666, 0.625, 0.43333333333333335, 0.4166666666666667]"
60,"[np.int64(1062), np.int64(338), np.int64(207), np.int64(188), np.int64(509)]","[0.9583333333333334, 0.425, 0.34210526315789475, 0.3333333333333333, 0.3235294117647059]"
61,"[np.int64(553), np.int64(109), np.int64(842), np.int64(1044), np.int64(559)]","[0.975, 0.38461538461538464, 0.37735849056603776, 0.3220338983050847, 0.2727272727272727]"
62,"[np.int64(18), np.int64(327), np.int64(145), np.int64(91), np.int64(411)]","[0.39436619718309857, 0.3582089552238806, 0.2972972972972973, 0.2878787878787879, 0.2875]"
63,"[np.int64(301), np.int64(535), np.int64(807), np.int64(1440), np.int64(795)]","[0.30612244897959184, 0.2978723404255319, 0.2916666666666667, 0.2631578947368421, 0.25]"
64,"[np.int64(830), np.int64(121), np.int64(100), np.int64(137), np.int64(450)]","[0.9761904761904762, 0.7446808510638298, 0.5660377358490566, 0.5555555555555556, 0.46938775510204084]"
65,"[np.int64(67), np.int64(1074), np.int64(724), np.int64(57), np.int64(638)]","[0.5526315789473685, 0.4883720930232558, 0.475, 0.46511627906976744, 0.45454545454545453]"
66,"[np.int64(129), np.int64(13), np.int64(79), np.int64(136), np.int64(43)]","[0.9666666666666667, 0.7837837837837838, 0.7073170731707317, 0.6904761904761905, 0.6111111111111112]"
67,"[np.int64(1074), np.int64(57), np.int64(80), np.int64(638), np.int64(65)]","[0.8387096774193549, 0.6, 0.59375, 0.5833333333333334, 0.5526315789473685]"
68,"[np.int64(3), np.int64(147), np.int64(29), np.int64(149), np.int64(10)]","[0.42105263157894735, 0.3333333333333333, 0.288135593220339, 0.2833333333333333, 0.2786885245901639]"
