SMILES,MW,LogP,TPSA,HBA,HBD,cluster,x_umap,y_umap,Cluster_ID
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,468.3700000000002,2.1144999999999996,173.71,9,3,330,5.8486676,-2.6384215,330
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,328.43400000000014,1.1703000000000001,75.71000000000001,5,1,367,4.0284157,-0.37081555,367
Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,510.45300000000015,5.151700000000006,29.950000000000003,5,1,12,0.5982285,-0.26068908,12
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,334.41600000000005,2.2984,86.71000000000001,3,2,938,6.6971164,0.45993736,938
Cl.O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,408.333,2.7835000000000014,45.78,6,0,373,0.8489003,-0.01566913,373
CNCCCC12CCC(c3ccccc31)c1ccccc12,277.41100000000006,4.211400000000004,12.03,1,1,372,1.6369467,-0.47284347,372
CNCCc1ccccn1,136.19799999999995,0.8434999999999999,24.92,2,1,233,1.9644638,-0.51859903,233
CC(C[N+](C)(C)C)OC(N)=O,161.22499999999997,0.17640000000000045,52.32,2,1,348,6.553506,1.5447435,348
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,223.29599999999996,1.9437,29.540000000000003,2,0,52,3.8863232,-2.4287868,52
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl,480.4270000000001,5.7892000000000055,9.72,4,0,12,0.63689536,-0.2670236,12
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C,353.53000000000014,4.111500000000002,43.09,1,1,244,3.6592786,0.28938115,244
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.745,2.472200000000001,52.900000000000006,3,1,937,1.227508,-1.14601,937
CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl,313.872,4.633200000000005,12.03,1,1,372,1.6291685,-0.5075917,372
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,313.288,2.5477000000000007,75.81,4,0,936,2.4684167,-2.3109891,936
CCOc1ccccc1OCC1CNCCO1.Cl,273.75999999999993,1.8742999999999994,39.72,4,1,370,3.623589,-0.42371917,370
NNCCc1ccccc1.O=S(=O)(O)O,234.277,0.03960000000000019,112.64999999999999,4,4,371,5.534984,-0.23440486,371
CCOc1ccccc1OCC1CNCCO1,237.29899999999992,1.4525,39.72,4,1,370,3.642521,-0.4379913,370
CC(C)(C)NCC(O)c1ccccc1Cl,227.735,2.761500000000001,32.26,2,2,235,5.1832886,-3.3705838,235
CCN(CCCc1ccccc1)CCCc1ccccc1,281.443,4.5739000000000045,3.24,1,0,935,4.11711,0.2546663,935
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1,351.368,4.083000000000003,38.33,3,1,208,5.033199,-2.4097884,208
COc1ccc(C(=O)N2CCCC2=O)cc1,219.23999999999992,1.4578,46.61,3,0,934,2.6989906,0.90148234,934
Cc1nc2sccn2c(=O)c1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,477.58000000000015,5.483020000000005,37.61000000000001,5,0,933,2.0279763,0.4759571,933
CCN(CC)CCNC(=O)c1cc(Br)c(N)cc1OC,344.253,2.1115,67.59,4,2,55,3.9419317,-0.34136656,55
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,303.358,2.0576000000000003,92.95,5,5,276,4.910073,-3.2222204,276
CN(C)C(=O)Oc1ccc[n+](C)c1,181.21499999999997,0.5714999999999999,33.42,2,0,355,3.8198326,-2.3694067,355
O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,260.337,1.8034999999999994,41.57000000000001,3,1,249,1.8663915,0.6514172,249
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21.O=C(O)/C=C\C(=O)O,410.51400000000007,3.8328000000000015,81.08,4,2,369,0.6714289,-0.715199,369
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,429.55700000000024,4.6025000000000045,57.230000000000004,6,0,269,3.4426377,-0.7733491,269
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,312.482,5.019600000000005,6.48,3,0,29,0.5082398,-0.8564329,29
CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1,323.43600000000004,3.8460000000000027,29.54,3,0,192,2.081922,2.0735154,192
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,320.88900000000007,4.662800000000004,6.48,3,0,32,0.49747238,-0.57467866,32
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,298.39,2.1961199999999996,50.28,5,1,365,2.478821,0.3899904,365
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,294.3980000000001,3.774600000000003,25.240000000000002,3,0,932,1.2527089,1.4584935,932
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=S(=O)(O)CCS(=O)(=O)O,564.1510000000003,3.342200000000001,118.46,8,2,368,0.65446854,-0.2558914,368
C[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,340.44300000000004,2.7045000000000012,46.53,3,1,25,2.1978314,1.9606898,25
CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,354.4700000000001,3.0946000000000016,46.53,3,1,25,2.2283762,1.9817777,25
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,344.455,2.7317000000000013,62.129999999999995,5,1,263,2.2723536,0.9698374,263
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21.Cl,388.886,5.681600000000004,6.48,3,0,32,0.525218,-0.6288991,32
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC.Cl,364.89500000000015,1.5921,75.71000000000001,5,1,367,4.00039,-0.3709225,367
CN(C)CC/C=C1/c2ccccc2COc2ccccc21,279.383,3.9624000000000033,12.47,2,0,71,0.07260423,-0.6855603,71
CN1C2CC[C@@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2,289.375,1.9309,49.769999999999996,4,1,7,1.7957158,2.3531978,7
NC(N)=Nc1nc(CSCC/C(N)=N\S(N)(=O)=O)cs1,337.4560000000001,-0.7679999999999998,175.83,6,4,931,5.962839,-1.0302398,931
CC(=O)O.Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,578.6140000000004,6.4731400000000106,192.81999999999996,9,7,366,4.566123,-0.12900852,366
CC(C)[N+]1(C)C2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2.[Br-],412.368,-0.14189999999999792,46.53,3,1,125,1.9113203,2.450556,125
CN(C)CC/C=C1/c2ccccc2COc2ccccc21.Cl,315.844,4.384200000000005,12.47,2,0,71,0.10135285,-0.7197126,71
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,356.5600000000001,4.404300000000004,6.48,4,0,363,0.75712234,0.15811206,363
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,395.4780000000002,3.217100000000001,52.650000000000006,4,1,930,1.911792,0.5741218,930
